id,source,user_message,agent_reply,resolved,date
sc001,support,"Hi, I placed order #45231 three days ago. Can you give me a tracking number?","Hi! Your order #45231 was dispatched on Jan 14. Your tracking number is TRK9921XZ. You can track it on our website under 'My Orders'.",true,2024-01-15
sc002,support,"I want to return my order. How do I start the process?","Of course! Please visit our Returns Portal at returns.example.com and enter your order number. You have 30 days from delivery to initiate a return.",true,2024-01-17
sc003,support,"What sizes do you carry for the Classic Hoodie? The size chart on the website is confusing.","We carry XS through 3XL for the Classic Hoodie. Our size chart measures chest width — for reference a Medium fits 38–40 inches. Would you like more detail?",true,2024-01-19
sc004,support,"My refund was supposed to come in 5–7 days. It's been 12 days and nothing. What's happening?","I sincerely apologize for the delay. I've escalated your refund case #RF2291 to our finance team. You should see it within 48 hours. Sorry again for the inconvenience.",false,2024-01-21
sc005,support,"Do you offer international shipping to Australia?","Yes, we ship to Australia! Standard shipping takes 10–14 business days and costs $12.99. Express (5–7 days) is available for $24.99.",true,2024-01-23
sc006,support,"I received a damaged item. The box was crushed and the product inside is broken. What do I do?","I'm so sorry to hear this! Please take a photo of the damaged item and box, then email it to support@example.com with your order number. We'll send a replacement or full refund immediately.",false,2024-01-25
sc007,support,"Can I change the size on my order? I placed it 2 hours ago.","",false,2024-01-27
sc008,support,"I accidentally placed a duplicate order. I need to cancel one of them.","No problem! I've cancelled order #51002 (the duplicate) and a confirmation email is on its way. Your original order #51001 is still processing normally.",true,2024-01-29
sc009,support,"Is the Winter Jacket available in navy blue? I can only see black on the website.","Great news — the Winter Jacket in navy blue is back in stock as of today! You can find it under New Arrivals. We only have sizes S, M, and L remaining.",true,2024-02-01
sc010,support,"I used a promo code but it didn't apply at checkout. I ended up paying full price.","",false,2024-02-03
